cfname,updateddate,addeddate,reportdate,beds_ward_o,mechvent_o,isolbed_o,beds_ward_v,hfhudcode,icu_o,isolbed_v,icu_v,mechvent_v,id
ALABANG MEDICAL CLINIC - LAS PIÑAS BRANCH,2020-04-19 8:26:41,2020-04-19 8:26:41,2020-04-19,0,0,0,0,DOH000000000004395,0,0,0,0,2768
ALABANG MEDICAL CLINIC - LAS PIÑAS BRANCH,2020-04-16 9:00:07,2020-04-16 9:00:07,2020-04-16,0,0,0,0,DOH000000000004395,0,0,0,0,252
DR. DOMINGO S. DE LEON GENERAL HOSPITAL,2020-04-17 10:02:58,2020-04-17 10:02:58,2020-04-17,0,0,0,0,DOH000000000004403,0,0,0,0,1235
DR. DOMINGO S. DE LEON GENERAL HOSPITAL,2020-04-18 16:02:53,2020-04-18 16:02:53,2020-04-18,0,0,0,0,DOH000000000004403,0,0,0,0,2349
DR. DOMINGO S. DE LEON GENERAL HOSPITAL,2020-04-19 13:19:54,2020-04-19 13:19:54,2020-04-19,0,0,0,0,DOH000000000004403,0,0,0,0,3148
GALINATO FAMILY CLINIC AND HOSPITAL,2020-04-18 13:12:56,2020-04-18 13:12:56,2020-04-18,0,0,0,0,DOH000000000004405,0,2,0,0,2271
GALINATO FAMILY CLINIC AND HOSPITAL,2020-04-19 9:39:33,2020-04-19 9:39:33,2020-04-19,0,0,0,0,DOH000000000004405,0,2,0,0,2946
GALINATO FAMILY CLINIC AND HOSPITAL,2020-04-17 9:21:37,2020-04-17 9:21:37,2020-04-17,0,0,0,0,DOH000000000004405,0,2,0,0,1168
GALINATO FAMILY CLINIC AND HOSPITAL,2020-04-16 9:10:58,2020-04-16 9:10:58,2020-04-16,0,0,0,0,DOH000000000004405,0,2,0,0,271
NORALA DISTRICT HOSPITAL,2020-04-16 8:44:51,2020-04-16 8:44:51,2020-04-16,0,0,0,4,DOH000000000004408,0,4,4,0,222
NORALA DISTRICT HOSPITAL,2020-04-18 7:55:03,2020-04-18 7:55:03,2020-04-18,0,0,0,4,DOH000000000004408,0,4,4,0,1733
NORALA DISTRICT HOSPITAL,2020-04-19 10:07:58,2020-04-19 10:07:58,2020-04-19,0,0,0,4,DOH000000000004408,0,4,4,0,2984
NORALA DISTRICT HOSPITAL,2020-04-17 8:30:40,2020-04-17 8:30:40,2020-04-17,0,0,0,4,DOH000000000004408,0,4,4,0,1026
COMPOSTELA VALLEY PROVINCIAL HOSPITAL - MONTEVISTA,2020-04-17 14:47:22,2020-04-17 14:47:22,2020-04-17,0,0,0,0,DOH000000000004413,0,7,0,0,1457
COMPOSTELA VALLEY PROVINCIAL HOSPITAL - MONTEVISTA,2020-04-16 8:42:45,2020-04-16 8:42:45,2020-04-16,0,0,0,0,DOH000000000004413,0,7,0,0,217
"GONZALES MARANAN MEDICAL CENTER, INC.",2020-04-17 10:12:03,2020-04-17 10:12:03,2020-04-17,0,0,0,2,DOH000000000004415,0,2,0,0,1250
"GONZALES MARANAN MEDICAL CENTER, INC.",2020-04-18 11:46:39,2020-04-18 11:46:39,2020-04-18,0,0,0,1,DOH000000000004415,0,1,0,0,2219
SIMBULAN STO. NI?O HOSPITAL,2020-04-16 12:33:49,2020-04-16 12:33:49,2020-04-16,0,0,0,0,DOH000000000004426,0,0,0,0,476
SIMBULAN STO. NI?O HOSPITAL,2020-04-18 11:39:59,2020-04-18 11:39:59,2020-04-18,0,0,0,0,DOH000000000004426,0,1,0,0,2208
SIMBULAN STO. NI?O HOSPITAL,2020-04-17 16:06:11,2020-04-17 16:06:11,2020-04-17,0,0,0,0,DOH000000000004426,0,0,0,0,1504
SIMBULAN STO. NI?O HOSPITAL,2020-04-19 11:36:19,2020-04-19 11:36:19,2020-04-19,0,0,0,0,DOH000000000004426,0,0,0,0,3063
SOCOMEDICS MEDICAL CENTER,2020-04-16 11:59:35,2020-04-16 11:59:35,2020-04-16,0,0,0,0,DOH000000000004427,0,0,0,0,445
KITCHARAO DISTRICT HOSPITAL,2020-04-17 17:24:01,2020-04-17 17:24:01,2020-04-17,0,0,0,0,DOH000000000004449,0,5,0,0,1549
KITCHARAO DISTRICT HOSPITAL,2020-04-18 7:47:11,2020-04-18 7:47:11,2020-04-18,0,0,0,0,DOH000000000004449,0,5,0,0,1706
KITCHARAO DISTRICT HOSPITAL,2020-04-16 8:38:47,2020-04-16 8:38:47,2020-04-16,0,0,0,0,DOH000000000004449,0,5,0,0,200
GATTARAN EMERGENCY HOSPITAL,2020-04-19 7:41:11,2020-04-19 7:41:11,2020-04-19,0,0,0,0,DOH000000000004456,0,1,0,0,2566
GATTARAN EMERGENCY HOSPITAL,2020-04-17 15:29:16,2020-04-17 15:29:16,2020-04-17,0,0,0,0,DOH000000000004456,0,1,0,0,1482
GATTARAN EMERGENCY HOSPITAL,2020-04-18 7:16:03,2020-04-18 7:16:03,2020-04-18,0,0,0,0,DOH000000000004456,0,1,0,0,1646
FLORES MEMORIAL MEDICAL CENTER,2020-04-17 8:07:42,2020-04-17 8:07:42,2020-04-17,0,0,0,0,DOH000000000004471,0,0,0,0,910
FLORES MEMORIAL MEDICAL CENTER,2020-04-19 12:56:19,2020-04-19 12:56:19,2020-04-19,0,0,0,0,DOH000000000004471,0,0,0,0,3127
FLORES MEMORIAL MEDICAL CENTER,2020-04-18 15:30:03,2020-04-18 15:30:03,2020-04-18,0,0,0,0,DOH000000000004471,0,0,0,0,2334
FLORES MEMORIAL MEDICAL CENTER,2020-04-16 10:07:00,2020-04-16 10:07:00,2020-04-16,0,0,0,0,DOH000000000004471,0,0,0,0,342
CHILDREN'S MEDICAL CLINIC,2020-04-18 7:49:08,2020-04-18 7:49:08,2020-04-18,0,0,0,0,DOH000000000004472,0,2,0,0,1714
CHILDREN'S MEDICAL CLINIC,2020-04-16 7:57:44,2020-04-16 7:57:44,2020-04-16,0,0,0,0,DOH000000000004472,0,2,0,0,111
CHILDREN'S MEDICAL CLINIC,2020-04-19 8:19:32,2020-04-19 8:19:32,2020-04-19,0,0,0,0,DOH000000000004472,0,2,0,0,2745
CHILDREN'S MEDICAL CLINIC,2020-04-17 8:19:05,2020-04-17 8:19:05,2020-04-17,0,0,0,0,DOH000000000004472,0,2,0,0,978
"SAN LORENZO HOSPITAL HEALTH MANAGEMENT CO., INC.",2020-04-19 12:24:41,2020-04-19 12:24:41,2020-04-19,0,0,0,0,DOH000000000004475,0,0,0,0,3116
"SAN LORENZO HOSPITAL HEALTH MANAGEMENT CO., INC.",2020-04-18 15:23:34,2020-04-18 15:23:34,2020-04-18,0,0,0,0,DOH000000000004475,0,0,0,0,2329
"SAN LORENZO HOSPITAL HEALTH MANAGEMENT CO., INC.",2020-04-16 14:32:01,2020-04-16 14:32:01,2020-04-16,0,0,0,0,DOH000000000004475,0,0,0,0,568
"SAN LORENZO HOSPITAL HEALTH MANAGEMENT CO., INC.",2020-04-17 8:08:17,2020-04-17 8:08:17,2020-04-17,0,0,0,0,DOH000000000004475,0,0,0,0,915
IGNACIO LACSON ARROYO SR. MEMORIAL DISTRICT HOSPITAL,2020-04-19 13:08:25,2020-04-19 13:08:25,2020-04-19,0,0,0,0,DOH000000000004502,0,0,0,0,3141
IGNACIO LACSON ARROYO SR. MEMORIAL DISTRICT HOSPITAL,2020-04-18 13:29:59,2020-04-18 13:29:59,2020-04-18,0,0,0,0,DOH000000000004502,0,0,0,0,2278
PINTUYAN DISTRICT HOSPITAL,2020-04-18 11:26:44,2020-04-18 11:26:44,2020-04-18,0,0,0,0,DOH000000000004506,0,1,0,0,2196
NAGA CITY HOSPITAL,2020-04-19 7:39:41,2020-04-19 7:39:41,2020-04-19,0,0,0,0,DOH000000000004507,0,1,0,0,2560
NAGA CITY HOSPITAL,2020-04-17 8:02:40,2020-04-17 8:02:40,2020-04-17,0,0,0,0,DOH000000000004507,0,1,0,0,884
NAGA CITY HOSPITAL,2020-04-18 8:11:29,2020-04-18 8:11:29,2020-04-18,0,0,0,0,DOH000000000004507,0,1,0,0,1838
NAGA CITY HOSPITAL,2020-04-16 8:16:19,2020-04-16 8:16:19,2020-04-16,0,0,0,0,DOH000000000004507,0,1,0,0,155
"DR. MARCELO M. CHAN MEMORIAL HOSPITAL, INC.",2020-04-17 8:17:44,2020-04-17 8:17:44,2020-04-17,0,0,0,0,DOH000000000004517,0,0,0,0,971
"DR. MARCELO M. CHAN MEMORIAL HOSPITAL, INC.",2020-04-19 8:43:44,2020-04-19 8:43:44,2020-04-19,0,0,0,0,DOH000000000004517,0,0,0,0,2827
"DR. MARCELO M. CHAN MEMORIAL HOSPITAL, INC.",2020-04-16 8:06:59,2020-04-16 8:06:59,2020-04-16,0,0,0,0,DOH000000000004517,0,0,0,0,133
"DR. MARCELO M. CHAN MEMORIAL HOSPITAL, INC.",2020-04-18 8:02:46,2020-04-18 8:02:46,2020-04-18,0,0,0,0,DOH000000000004517,0,0,0,0,1776
SEÑOR TESORO HOSPITAL,2020-04-17 8:12:12,2020-04-17 8:12:12,2020-04-17,0,0,0,0,DOH000000000004522,0,1,0,0,938
SEÑOR TESORO HOSPITAL,2020-04-16 8:35:00,2020-04-16 8:35:00,2020-04-16,0,0,0,0,DOH000000000004522,0,1,0,0,193
SEÑOR TESORO HOSPITAL,2020-04-18 9:10:00,2020-04-18 9:10:00,2020-04-18,0,0,0,0,DOH000000000004522,0,1,0,0,2030
SEÑOR TESORO HOSPITAL,2020-04-19 8:33:11,2020-04-19 8:33:11,2020-04-19,0,0,0,0,DOH000000000004522,0,1,0,0,2787
AGUAS MATERNITY AND GENERAL HOSPITAL,2020-04-18 8:47:27,2020-04-18 8:47:27,2020-04-18,0,0,0,1,DOH000000000004549,0,1,0,0,1966
AGUAS MATERNITY AND GENERAL HOSPITAL,2020-04-19 8:53:56,2020-04-19 8:53:56,2020-04-19,0,0,0,1,DOH000000000004549,0,1,0,0,2858
AGUAS MATERNITY AND GENERAL HOSPITAL,2020-04-17 8:49:34,2020-04-17 8:49:34,2020-04-17,0,0,0,1,DOH000000000004549,0,1,0,0,1101
MAASIM MUNICIPAL HOSPITAL,2020-04-19 7:47:13,2020-04-19 7:47:13,2020-04-19,0,0,0,0,DOH000000000004556,0,0,0,0,2581
MAASIM MUNICIPAL HOSPITAL,2020-04-18 11:40:06,2020-04-18 11:40:06,2020-04-18,0,0,0,0,DOH000000000004556,0,0,0,0,2209
MAASIM MUNICIPAL HOSPITAL,2020-04-17 16:32:01,2020-04-17 16:32:01,2020-04-17,0,0,0,0,DOH000000000004556,0,0,0,0,1525
"SOMOSO GENERAL HOSPITAL, INC.",2020-04-17 15:20:41,2020-04-17 15:20:41,2020-04-17,0,0,0,0,DOH000000000004558,0,0,0,0,1479
"SOMOSO GENERAL HOSPITAL, INC.",2020-04-18 15:38:48,2020-04-18 15:38:48,2020-04-18,0,0,0,0,DOH000000000004558,0,0,0,0,2340
SARANGANI MUNICIPAL HOSP.,2020-04-17 13:09:09,2020-04-17 13:09:09,2020-04-17,0,0,0,0,DOH000000000004568,0,0,0,0,1397
SARANGANI MUNICIPAL HOSP.,2020-04-19 8:41:47,2020-04-19 8:41:47,2020-04-19,0,0,0,0,DOH000000000004568,0,0,0,0,2819
SARANGANI MUNICIPAL HOSP.,2020-04-18 8:09:35,2020-04-18 8:09:35,2020-04-18,0,0,0,0,DOH000000000004568,0,0,0,0,1825
GIGMOTO DISTRICT HOSPITAL,2020-04-18 10:44:15,2020-04-18 10:44:15,2020-04-18,0,0,0,0,DOH000000000004575,0,1,0,0,2155
GIGMOTO DISTRICT HOSPITAL,2020-04-19 8:00:39,2020-04-19 8:00:39,2020-04-19,0,0,0,0,DOH000000000004575,0,1,0,0,2636
GIGMOTO DISTRICT HOSPITAL,2020-04-17 6:24:47,2020-04-17 6:24:47,2020-04-17,0,0,0,0,DOH000000000004575,0,1,0,0,740
GIGMOTO DISTRICT HOSPITAL,2020-04-16 7:07:44,2020-04-16 7:07:44,2020-04-16,0,0,0,0,DOH000000000004575,0,1,0,0,44
VICENTE L. PERALTA MEMORIAL DISTRICT HOSPITAL,2020-04-18 6:31:27,2020-04-18 6:31:27,2020-04-18,0,0,0,0,DOH000000000004576,0,2,0,0,1602
VICENTE L. PERALTA MEMORIAL DISTRICT HOSPITAL,2020-04-16 11:14:57,2020-04-16 11:14:57,2020-04-16,0,0,0,0,DOH000000000004576,0,2,0,0,404
VICENTE L. PERALTA MEMORIAL DISTRICT HOSPITAL,2020-04-19 8:29:53,2020-04-19 8:29:53,2020-04-19,0,0,0,0,DOH000000000004576,0,2,0,0,2777
VICENTE L. PERALTA MEMORIAL DISTRICT HOSPITAL,2020-04-17 7:30:01,2020-04-17 7:30:01,2020-04-17,0,0,0,0,DOH000000000004576,0,2,0,0,799
EVANGELISTA MEDICAL CLINIC AND HOSPITAL,2020-04-16 11:39:50,2020-04-16 11:39:50,2020-04-16,0,0,0,0,DOH000000000004580,0,0,0,0,422
IMMACULATE CONCEPTION HEALTH CENTER,2020-04-17 13:57:56,2020-04-17 13:57:56,2020-04-17,0,0,0,0,DOH000000000004581,0,0,0,0,1435
"P. GONZALES MEMORIAL HOSPITAL, INC.",2020-04-19 12:02:39,2020-04-19 8:24:40,2020-04-19,0,0,0,0,DOH000000000004582,0,0,0,0,2761
"P. GONZALES MEMORIAL HOSPITAL, INC.",2020-04-18 16:49:09,2020-04-18 11:06:36,2020-04-18,0,0,0,0,DOH000000000004582,0,0,0,0,2181
"P. GONZALES MEMORIAL HOSPITAL, INC.",2020-04-17 16:11:51,2020-04-17 10:42:30,2020-04-17,0,0,0,0,DOH000000000004582,0,0,0,0,1288
"P. GONZALES MEMORIAL HOSPITAL, INC.",2020-04-16 16:09:28,2020-04-16 9:43:17,2020-04-16,0,0,0,0,DOH000000000004582,0,0,0,0,314
ZAMBOANGA PUERICULTURE CENTER MATERNITY LYING-IN HOSPITAL,2020-04-17 8:41:23,2020-04-17 8:41:23,2020-04-17,0,0,0,0,DOH000000000004592,0,1,0,0,1076
ZAMBOANGA PUERICULTURE CENTER MATERNITY LYING-IN HOSPITAL,2020-04-19 8:24:29,2020-04-19 8:24:29,2020-04-19,0,0,0,0,DOH000000000004592,0,1,0,0,2760
ZAMBOANGA PUERICULTURE CENTER MATERNITY LYING-IN HOSPITAL,2020-04-18 6:32:46,2020-04-18 6:32:46,2020-04-18,0,0,0,0,DOH000000000004592,0,1,0,0,1604
ZAMBOANGA PUERICULTURE CENTER MATERNITY LYING-IN HOSPITAL,2020-04-16 8:43:26,2020-04-16 8:43:26,2020-04-16,0,0,0,0,DOH000000000004592,0,1,0,0,220
BERACHAH MEDICAL CLINIC,2020-04-16 10:27:37,2020-04-16 10:27:37,2020-04-16,0,0,0,2,DOH000000000004608,0,2,0,0,362
BERACHAH MEDICAL CLINIC,2020-04-18 14:19:02,2020-04-18 14:19:02,2020-04-18,0,0,0,0,DOH000000000004608,0,0,2,0,2299
BERACHAH MEDICAL CLINIC,2020-04-17 12:35:45,2020-04-17 12:35:45,2020-04-17,0,0,0,0,DOH000000000004608,0,0,2,0,1376
D.O. PLAZA MEMORIAL HOSPITAL,2020-04-16 8:04:49,2020-04-16 8:04:49,2020-04-16,0,0,0,0,DOH000000000004611,0,2,0,0,127
D.O. PLAZA MEMORIAL HOSPITAL,2020-04-19 8:58:07,2020-04-19 8:58:07,2020-04-19,0,0,0,0,DOH000000000004611,0,2,0,0,2867
D.O. PLAZA MEMORIAL HOSPITAL,2020-04-17 7:49:28,2020-04-17 7:49:28,2020-04-17,0,0,0,1,DOH000000000004611,0,2,0,0,835
ROSARIO DISTRICT HOSPITAL,2020-04-17 8:09:24,2020-04-17 8:09:24,2020-04-17,0,0,0,8,DOH000000000004628,0,0,0,0,923
ROSARIO DISTRICT HOSPITAL,2020-04-16 12:04:01,2020-04-16 12:04:01,2020-04-16,0,0,0,8,DOH000000000004628,0,0,0,0,452
BLESSED FAMILY DOCTORS GENERAL HOSPITAL,2020-04-19 10:38:42,2020-04-19 10:38:42,2020-04-19,0,0,0,1,DOH000000000004631,0,2,0,0,3015
BLESSED FAMILY DOCTORS GENERAL HOSPITAL,2020-04-17 11:58:49,2020-04-17 11:58:49,2020-04-17,0,0,0,1,DOH000000000004631,0,2,0,0,1357
DEIPARINE COMMUNITY HOSPITAL,2020-04-18 19:53:18,2020-04-18 19:53:18,2020-04-18,0,0,0,0,DOH000000000004632,0,1,0,0,2425
DEIPARINE COMMUNITY HOSPITAL,2020-04-19 12:10:18,2020-04-19 12:10:18,2020-04-19,0,0,0,0,DOH000000000004632,0,1,0,0,3105
WESLEYAN UNIVERSITY - PHILIPPINES,2020-04-16 8:32:52,2020-04-16 8:32:52,2020-04-16,0,1,1,0,DOH000000000004636,2,0,0,0,188
WESLEYAN UNIVERSITY - PHILIPPINES,2020-04-19 11:59:00,2020-04-19 11:59:00,2020-04-19,1,1,1,0,DOH000000000004636,1,0,0,0,3095
WESLEYAN UNIVERSITY - PHILIPPINES,2020-04-17 10:19:56,2020-04-17 10:19:56,2020-04-17,0,1,2,0,DOH000000000004636,1,0,0,0,1257
WESLEYAN UNIVERSITY - PHILIPPINES,2020-04-18 12:32:51,2020-04-18 12:32:51,2020-04-18,1,1,2,0,DOH000000000004636,0,0,0,0,2252
TAGUM DOCTORS? HOSPITAL,2020-04-16 11:02:28,2020-04-16 11:02:28,2020-04-16,0,0,0,0,DOH000000000004638,0,1,0,0,395
TAGUM DOCTORS? HOSPITAL,2020-04-18 8:56:13,2020-04-18 8:56:13,2020-04-18,0,0,0,0,DOH000000000004638,0,1,0,0,1994
TAGUM DOCTORS? HOSPITAL,2020-04-17 11:27:46,2020-04-17 11:27:46,2020-04-17,0,0,0,0,DOH000000000004638,0,1,0,0,1336
TAGUM DOCTORS? HOSPITAL,2020-04-19 8:36:15,2020-04-19 8:36:15,2020-04-19,0,0,0,0,DOH000000000004638,0,1,0,0,2803
MADRID DISTRICT HOSPITAL,2020-04-18 11:46:21,2020-04-18 11:46:21,2020-04-18,0,0,3,0,DOH000000000004665,0,2,0,0,2222
MADRID DISTRICT HOSPITAL,2020-04-19 11:08:29,2020-04-19 11:08:29,2020-04-19,0,0,2,0,DOH000000000004665,0,3,0,0,3042
MADRID DISTRICT HOSPITAL,2020-04-17 8:22:52,2020-04-17 8:22:52,2020-04-17,0,0,3,0,DOH000000000004665,0,2,0,0,996
NEW BULAN ST. JUDE MEDICAL CLINIC,2020-04-17 8:01:13,2020-04-17 8:01:13,2020-04-17,0,0,0,0,DOH000000000004692,0,0,0,0,878
NEW BULAN ST. JUDE MEDICAL CLINIC,2020-04-16 7:13:27,2020-04-16 7:13:27,2020-04-16,0,0,0,0,DOH000000000004692,0,0,0,0,48
NEW BULAN ST. JUDE MEDICAL CLINIC,2020-04-19 10:45:29,2020-04-19 10:45:29,2020-04-19,0,0,0,0,DOH000000000004692,0,0,0,0,3019
NEW BULAN ST. JUDE MEDICAL CLINIC,2020-04-18 10:35:50,2020-04-18 10:35:50,2020-04-18,0,0,0,0,DOH000000000004692,0,0,0,0,2146
BBCSS PEDIATRIC MEDICAL AND SURGICAL CLINIC,2020-04-16 10:01:51,2020-04-16 10:01:51,2020-04-16,0,0,0,0,DOH000000000004696,0,0,0,0,334
BBCSS PEDIATRIC MEDICAL AND SURGICAL CLINIC,2020-04-17 8:09:08,2020-04-17 8:09:08,2020-04-17,0,0,0,0,DOH000000000004696,0,0,0,0,922
BBCSS PEDIATRIC MEDICAL AND SURGICAL CLINIC,2020-04-18 12:41:45,2020-04-18 12:41:45,2020-04-18,0,0,0,0,DOH000000000004696,0,0,0,0,2256
HOLY INFANT HOSPITAL OF TUGUEGARAO INC.,2020-04-19 13:07:10,2020-04-19 13:07:10,2020-04-19,0,0,0,0,DOH000000000004697,0,2,0,0,3139
HOLY INFANT HOSPITAL OF TUGUEGARAO INC.,2020-04-16 8:14:40,2020-04-16 8:14:40,2020-04-16,0,0,0,0,DOH000000000004697,0,0,0,0,150
HOLY INFANT HOSPITAL OF TUGUEGARAO INC.,2020-04-18 9:44:43,2020-04-18 9:42:33,2020-04-18,0,0,0,0,DOH000000000004697,0,2,0,0,2088
HOLY INFANT HOSPITAL OF TUGUEGARAO INC.,2020-04-17 14:10:26,2020-04-17 14:10:26,2020-04-17,0,0,0,0,DOH000000000004697,0,2,0,0,1441
"ANGELES MEDICAL CENTER, INC.",2020-04-19 10:45:59,2020-04-19 10:45:59,2020-04-19,0,0,2,0,DOH000000000004700,1,4,0,0,3020
ACEBEDO GENERAL HOSPITAL,2020-04-17 11:21:36,2020-04-17 11:21:36,2020-04-17,0,0,0,0,DOH000000000004706,0,0,0,0,1327
ST. JOSEPH INFIRMARY,2020-04-19 11:59:36,2020-04-19 11:59:36,2020-04-19,0,0,0,0,DOH000000000004766,0,0,0,0,3096
ST. JOSEPH INFIRMARY,2020-04-17 14:43:17,2020-04-17 14:43:17,2020-04-17,0,0,0,0,DOH000000000004766,0,0,0,0,1456
ST. JOSEPH INFIRMARY,2020-04-18 9:22:23,2020-04-18 9:22:23,2020-04-18,0,0,0,0,DOH000000000004766,0,0,0,0,2054
NORTHERN CAGAYAN DISTRICT HOSPITAL,2020-04-19 11:01:33,2020-04-19 11:01:33,2020-04-19,0,0,0,0,DOH000000000004790,0,0,0,0,3036
NORTHERN CAGAYAN DISTRICT HOSPITAL,2020-04-16 8:38:27,2020-04-16 8:38:27,2020-04-16,0,0,0,0,DOH000000000004790,0,0,0,0,199
NORTHERN CAGAYAN DISTRICT HOSPITAL,2020-04-17 13:32:21,2020-04-17 13:32:21,2020-04-17,0,0,0,0,DOH000000000004790,0,0,0,0,1418
NORTHERN CAGAYAN DISTRICT HOSPITAL,2020-04-18 11:06:52,2020-04-18 11:06:52,2020-04-18,0,0,0,0,DOH000000000004790,0,0,0,0,2182
"CABATUAN FAMILY HOSPITAL, INC.",2020-04-17 10:31:35,2020-04-17 10:31:35,2020-04-17,0,0,0,0,DOH000000000004793,0,0,0,0,1273
"CABATUAN FAMILY HOSPITAL, INC.",2020-04-19 12:00:23,2020-04-19 12:00:23,2020-04-19,0,0,0,0,DOH000000000004793,0,0,0,0,3098
"CABATUAN FAMILY HOSPITAL, INC.",2020-04-18 14:36:25,2020-04-18 14:36:25,2020-04-18,0,0,0,0,DOH000000000004793,0,0,0,0,2309
"CABATUAN FAMILY HOSPITAL, INC.",2020-04-16 9:23:10,2020-04-16 9:23:10,2020-04-16,0,0,0,0,DOH000000000004793,0,0,0,0,290
"RIVERA MEDICAL CENTER, INC.",2020-04-19 7:22:14,2020-04-19 7:22:14,2020-04-19,0,0,0,0,DOH000000000004794,0,0,0,0,2526
"RIVERA MEDICAL CENTER, INC.",2020-04-18 6:42:42,2020-04-18 6:42:42,2020-04-18,0,0,0,0,DOH000000000004794,0,0,0,0,1608
"RIVERA MEDICAL CENTER, INC.",2020-04-16 8:02:46,2020-04-16 8:02:46,2020-04-16,0,0,0,0,DOH000000000004794,0,2,0,0,123
"RIVERA MEDICAL CENTER, INC.",2020-04-17 9:39:05,2020-04-17 9:39:05,2020-04-17,0,0,0,0,DOH000000000004794,0,0,0,0,1200
OZAMIS CITY SAINT JOSEPH GENERAL HOSPITAL,2020-04-19 11:40:24,2020-04-19 11:40:24,2020-04-19,0,0,0,0,DOH000000000004797,0,1,0,0,3073
OZAMIS CITY SAINT JOSEPH GENERAL HOSPITAL,2020-04-18 23:49:53,2020-04-18 23:49:53,2020-04-18,0,0,0,0,DOH000000000004797,0,1,0,0,2441
OZAMIS CITY SAINT JOSEPH GENERAL HOSPITAL,2020-04-17 23:36:58,2020-04-17 23:36:58,2020-04-17,0,0,0,0,DOH000000000004797,0,1,0,0,1583
SAN LAZARO HOSPITAL,2020-04-19 7:57:33,2020-04-19 7:57:33,2020-04-19,0,4,25,0,DOH000000000004799,7,15,1,0,2625
TANHO MEDICAL CLINIC,2020-04-18 10:41:54,2020-04-18 10:41:54,2020-04-18,0,0,0,0,DOH000000000004804,0,0,0,0,2154
TANHO MEDICAL CLINIC,2020-04-17 14:29:48,2020-04-17 14:29:48,2020-04-17,0,0,0,0,DOH000000000004804,0,0,0,0,1449
TANHO MEDICAL CLINIC,2020-04-19 7:29:55,2020-04-19 7:29:55,2020-04-19,0,0,0,0,DOH000000000004804,0,0,0,0,2540
ESTHER HOSPITAL,2020-04-16 17:07:38,2020-04-16 17:07:38,2020-04-16,0,0,0,0,DOH000000000004818,0,1,0,0,674
ESTHER HOSPITAL,2020-04-17 8:20:56,2020-04-17 8:20:56,2020-04-17,0,0,0,0,DOH000000000004818,0,1,0,0,983
ESTHER HOSPITAL,2020-04-18 9:28:07,2020-04-18 9:28:07,2020-04-18,0,0,0,0,DOH000000000004818,0,1,0,0,2065
CALBAYOG DISTRICT HOSPITAL,2020-04-18 21:52:11,2020-04-18 21:52:11,2020-04-18,0,0,1,2,DOH000000000004831,0,8,0,0,2435
LU CLINIC AND HOSPITAL,2020-04-16 8:51:29,2020-04-16 8:51:29,2020-04-16,0,0,0,0,DOH000000000004861,0,0,0,0,234
LU CLINIC AND HOSPITAL,2020-04-18 9:13:38,2020-04-18 9:13:38,2020-04-18,0,0,0,0,DOH000000000004861,0,0,0,0,2035
LU CLINIC AND HOSPITAL,2020-04-19 8:04:17,2020-04-19 8:04:17,2020-04-19,0,0,0,0,DOH000000000004861,0,0,0,0,2649
LU CLINIC AND HOSPITAL,2020-04-17 8:58:37,2020-04-17 8:58:37,2020-04-17,0,0,0,0,DOH000000000004861,0,0,0,0,1129
LUCAS-PAGUILA MEDICAL CLINIC AND HOSPITAL,2020-04-19 8:37:23,2020-04-19 8:37:23,2020-04-19,0,0,0,0,DOH000000000004862,0,0,0,0,2808
LUCAS-PAGUILA MEDICAL CLINIC AND HOSPITAL,2020-04-18 8:36:02,2020-04-18 8:36:02,2020-04-18,0,0,0,0,DOH000000000004862,0,2,0,0,1938
LUCAS-PAGUILA MEDICAL CLINIC AND HOSPITAL,2020-04-16 15:47:59,2020-04-16 15:47:59,2020-04-16,0,0,0,0,DOH000000000004862,0,2,0,0,627
LUCAS-PAGUILA MEDICAL CLINIC AND HOSPITAL,2020-04-17 12:44:15,2020-04-17 12:44:15,2020-04-17,0,0,0,0,DOH000000000004862,0,2,0,0,1385
SARA DISTRICT HOSPITAL,2020-04-17 11:15:18,2020-04-17 11:15:18,2020-04-17,0,0,0,0,DOH000000000004914,0,3,0,0,1319
SARA DISTRICT HOSPITAL,2020-04-18 16:23:07,2020-04-18 16:23:07,2020-04-18,0,0,0,0,DOH000000000004914,0,3,0,0,2373
SARA DISTRICT HOSPITAL,2020-04-19 11:58:19,2020-04-19 11:58:19,2020-04-19,0,0,0,0,DOH000000000004914,0,3,0,0,3094
ST. MAGDALENE HOSPITAL,2020-04-19 7:09:02,2020-04-19 7:09:02,2020-04-19,0,0,0,0,DOH000000000004924,0,1,0,0,2503
ST. MAGDALENE HOSPITAL,2020-04-18 8:12:49,2020-04-18 8:12:49,2020-04-18,0,0,0,0,DOH000000000004924,0,1,0,0,1846
ST. MAGDALENE HOSPITAL,2020-04-16 7:24:17,2020-04-16 7:24:17,2020-04-16,0,0,0,0,DOH000000000004924,0,1,0,0,62
ST. MAGDALENE HOSPITAL,2020-04-17 7:59:07,2020-04-17 7:59:07,2020-04-17,0,0,0,0,DOH000000000004924,0,1,0,0,868
GIG OCA ROBLES SEAMEN?S HOSPITAL DAVAO,2020-04-19 8:25:22,2020-04-19 8:25:22,2020-04-19,0,0,0,0,DOH000000000004926,0,2,0,0,2764
GIG OCA ROBLES SEAMEN?S HOSPITAL DAVAO,2020-04-17 14:15:29,2020-04-17 14:15:29,2020-04-17,0,0,0,0,DOH000000000004926,0,2,0,0,1442
