cfname,updateddate,addeddate,beds_ward_v,id,hfhudcode,icu_o,isolbed_v,reportdate,isolbed_o,mechvent_o,mechvent_v,beds_ward_o,icu_v
OLUTANGA MUNICIPAL HOSPITAL,2020-04-17 9:15:50,2020-04-17 9:15:50,0,1160,DOH000000000004957,0,0,2020-04-17,0,0,0,0,0
MAYOR JOAQUIN MACIAS MEMORIAL INFIRMARY,2020-04-17 8:21:03,2020-04-17 8:21:03,0,984,DOH000000000004959,0,1,2020-04-17,0,0,0,0,0
MAYOR JOAQUIN MACIAS MEMORIAL INFIRMARY,2020-04-16 7:57:18,2020-04-16 7:57:18,0,110,DOH000000000004959,0,1,2020-04-16,0,0,0,0,0
CALAMBA DISTRICT HOSPITAL,2020-04-17 8:16:31,2020-04-17 8:16:31,0,963,DOH000000000004967,0,2,2020-04-17,0,0,0,0,0
CALAMBA DISTRICT HOSPITAL,2020-04-16 8:14:20,2020-04-16 8:14:20,0,149,DOH000000000004967,0,2,2020-04-16,0,0,0,0,0
"ZAMBOANGA PENINSULA MEDICAL CENTER, INC.",2020-04-17 10:29:26,2020-04-17 10:29:26,0,1270,DOH000000000004975,0,2,2020-04-17,3,0,0,0,0
DEMANO'S MEDICAL AND PEDIATRIC CLINIC,2020-04-17 8:21:27,2020-04-17 8:21:27,0,987,DOH000000000004996,0,0,2020-04-17,0,0,0,0,0
DEMANO'S MEDICAL AND PEDIATRIC CLINIC,2020-04-16 13:45:16,2020-04-16 13:45:16,0,525,DOH000000000004996,0,0,2020-04-16,0,0,0,0,0
ILOCOS SUR PROVINCIAL HOSPITAL GABRIELA SILANG,2020-04-16 16:26:18,2020-04-16 16:26:18,0,653,DOH000000000005002,0,1,2020-04-16,3,0,0,0,0
ILOCOS SUR PROVINCIAL HOSPITAL GABRIELA SILANG,2020-04-17 12:08:25,2020-04-17 12:08:25,0,1364,DOH000000000005002,3,1,2020-04-17,3,0,0,0,1
ZAPANTA MATERNITY & GENERAL HOSPITAL,2020-04-16 7:45:56,2020-04-16 7:45:56,0,92,DOH000000000005014,0,0,2020-04-16,0,0,0,0,0
ZAPANTA MATERNITY & GENERAL HOSPITAL,2020-04-17 14:27:24,2020-04-17 14:27:24,0,1446,DOH000000000005014,0,0,2020-04-17,0,0,0,0,0
AGUSAN DEL NORTE PROVINCIAL HOSPITAL,2020-04-16 13:18:37,2020-04-16 13:18:37,14,507,DOH000000000005027,0,14,2020-04-16,0,0,0,0,0
AGUSAN DEL NORTE PROVINCIAL HOSPITAL,2020-04-17 10:23:35,2020-04-17 10:23:35,0,1263,DOH000000000005027,0,1,2020-04-17,0,0,0,0,0
DELFIN ALBANO COMMUNITY HOSPITAL,2020-04-16 13:25:35,2020-04-16 13:25:35,0,513,DOH000000000005045,0,4,2020-04-16,0,0,0,0,0
DELFIN ALBANO COMMUNITY HOSPITAL,2020-04-17 9:11:51,2020-04-17 9:11:51,0,1152,DOH000000000005045,0,4,2020-04-17,0,0,0,0,0
SANTA CRUZ COMMUNITY HOSPITAL,2020-04-16 9:19:41,2020-04-16 9:19:41,0,286,DOH000000000005048,0,0,2020-04-16,0,0,0,0,0
SANTA CRUZ COMMUNITY HOSPITAL,2020-04-17 10:08:32,2020-04-17 10:08:32,0,1245,DOH000000000005048,0,0,2020-04-17,0,0,0,0,0
SALVADOR R. ENCINAS DISTRICT HOSPITAL,2020-04-16 8:56:56,2020-04-16 8:56:56,0,245,DOH000000000005058,0,4,2020-04-16,0,0,0,0,0
SALVADOR R. ENCINAS DISTRICT HOSPITAL,2020-04-17 8:12:37,2020-04-17 8:12:37,0,940,DOH000000000005058,0,4,2020-04-17,0,0,0,0,0
DINAGAT DISTRICT HOSPITAL,2020-04-16 9:35:03,2020-04-16 9:35:03,3,303,DOH000000000005072,0,2,2020-04-16,1,0,0,0,0
DINAGAT DISTRICT HOSPITAL,2020-04-17 8:34:53,2020-04-17 8:34:53,3,1043,DOH000000000005072,0,3,2020-04-17,0,0,0,0,0
HINATUAN DISTRICT HOSPITAL,2020-04-17 8:15:31,2020-04-17 8:15:31,0,957,DOH000000000005079,0,2,2020-04-17,0,0,0,0,0
HINATUAN DISTRICT HOSPITAL,2020-04-16 8:51:54,2020-04-16 8:51:54,0,236,DOH000000000005079,0,2,2020-04-16,0,0,0,0,0
MARTINEZ MEMORIAL HOSPITAL,2020-04-17 8:59:00,2020-04-17 8:59:00,0,1130,DOH000000000005081,0,0,2020-04-17,0,0,0,0,0
MARTINEZ MEMORIAL HOSPITAL,2020-04-16 16:08:03,2020-04-16 16:08:03,0,641,DOH000000000005081,0,0,2020-04-16,0,0,0,0,0
VISAYAS STATE UNIVERSITY HOSPITAL,2020-04-16 8:53:17,2020-04-16 8:53:17,0,239,DOH000000000005086,0,0,2020-04-16,0,0,0,0,0
VISAYAS STATE UNIVERSITY HOSPITAL,2020-04-17 8:54:45,2020-04-17 8:54:45,0,1115,DOH000000000005086,0,0,2020-04-17,0,0,0,0,0
DR. BERNARDO B. CORRAL MEMORIAL HOSPITAL,2020-04-17 6:36:04,2020-04-17 6:36:04,0,744,DOH000000000005125,0,0,2020-04-17,0,0,0,0,0
DR. BERNARDO B. CORRAL MEMORIAL HOSPITAL,2020-04-16 6:38:01,2020-04-16 6:38:01,0,25,DOH000000000005125,0,0,2020-04-16,0,0,0,0,0
SEN. NINOY AQUINO MUN. HOSPITAL,2020-04-16 14:47:21,2020-04-16 14:47:21,0,581,DOH000000000005147,0,0,2020-04-16,0,0,0,0,0
SEN. NINOY AQUINO MUN. HOSPITAL,2020-04-17 9:14:01,2020-04-17 9:14:01,0,1158,DOH000000000005147,0,0,2020-04-17,0,0,0,0,0
MISAMIS ORIENTAL PROVINCIAL HOSPITAL - MAGSAYSAY,2020-04-17 8:58:02,2020-04-17 8:58:02,0,1128,DOH000000000005157,0,0,2020-04-17,0,0,0,0,0
AROROY MUNICIPAL HOSPITAL,2020-04-16 12:01:14,2020-04-16 12:01:14,0,449,DOH000000000005162,0,0,2020-04-16,0,0,0,0,0
AROROY MUNICIPAL HOSPITAL,2020-04-17 8:03:37,2020-04-17 8:03:37,0,889,DOH000000000005162,0,0,2020-04-17,0,0,0,0,0
COMPOSTELA VALLEY PROVINCIAL HOSPITAL -MARAGUSAN,2020-04-16 9:16:55,2020-04-16 9:16:55,2,280,DOH000000000005166,0,2,2020-04-16,0,0,0,0,0
COMPOSTELA VALLEY PROVINCIAL HOSPITAL -MARAGUSAN,2020-04-17 9:26:12,2020-04-17 9:26:12,2,1175,DOH000000000005166,0,2,2020-04-17,0,0,0,0,0
SOGOD DISTRICT HOSPITAL,2020-04-17 12:22:56,2020-04-17 12:22:56,0,1371,DOH000000000005169,0,2,2020-04-17,0,0,0,0,0
TUAO DISTRICT HOSPITAL,2020-04-16 8:34:28,2020-04-16 8:34:28,1,190,DOH000000000005179,0,0,2020-04-16,0,0,0,0,0
TUAO DISTRICT HOSPITAL,2020-04-17 14:16:10,2020-04-17 14:16:10,0,1443,DOH000000000005179,0,0,2020-04-17,0,0,0,0,0
PIO DURAN MEMORIAL DISTRICT HOSPITAL,2020-04-16 8:21:29,2020-04-16 8:21:29,0,166,DOH000000000005198,0,3,2020-04-16,0,0,0,0,0
PIO DURAN MEMORIAL DISTRICT HOSPITAL,2020-04-17 8:55:04,2020-04-17 8:55:04,0,1118,DOH000000000005198,0,3,2020-04-17,0,0,0,0,0
CAMIGUIN GENERAL HOSPITAL,2020-04-16 11:49:12,2020-04-16 11:49:12,0,433,DOH000000000005202,0,5,2020-04-16,0,0,0,0,0
MARIHATAG DISTRICT HOSPITAL,2020-04-16 8:37:43,2020-04-16 8:37:43,0,198,DOH000000000005204,0,0,2020-04-16,0,0,0,0,0
MARIHATAG DISTRICT HOSPITAL,2020-04-17 8:26:21,2020-04-17 8:26:21,0,1009,DOH000000000005204,0,0,2020-04-17,0,0,0,0,0
TADECO HOSPITAL,2020-04-16 7:27:20,2020-04-16 7:27:20,0,69,DOH000000000005224,0,0,2020-04-16,0,0,0,0,0
TADECO HOSPITAL,2020-04-17 7:29:13,2020-04-17 7:29:13,0,797,DOH000000000005224,0,0,2020-04-17,0,0,0,0,0
LIZASO HOSPITAL,2020-04-16 5:51:23,2020-04-16 5:51:23,0,17,DOH000000000005233,0,0,2020-04-16,0,0,0,0,0
LIZASO HOSPITAL,2020-04-17 5:50:34,2020-04-17 5:50:34,0,725,DOH000000000005233,0,0,2020-04-17,0,0,0,0,0
ABRA DE ILOG MUNICIPAL HOSPITAL,2020-04-17 10:56:26,2020-04-17 10:56:26,0,1298,DOH000000000005252,0,0,2020-04-17,0,0,0,0,0
ABRA DE ILOG MUNICIPAL HOSPITAL,2020-04-16 10:12:12,2020-04-16 10:12:12,0,346,DOH000000000005252,0,0,2020-04-16,0,0,0,0,0
"QUIJANO CLINIC AND HOSPITAL, INC.",2020-04-17 12:03:45,2020-04-17 12:03:45,0,1362,DOH000000000005265,0,0,2020-04-17,0,0,0,0,0
"QUIJANO CLINIC AND HOSPITAL, INC.",2020-04-16 15:40:16,2020-04-16 15:40:16,0,619,DOH000000000005265,0,0,2020-04-16,0,0,0,0,0
TUBIGON COMMUNITY HOSPITAL,2020-04-16 13:40:24,2020-04-16 13:40:24,12,522,DOH000000000005284,0,12,2020-04-16,0,0,0,0,0
TUBIGON COMMUNITY HOSPITAL,2020-04-17 9:59:30,2020-04-17 9:59:30,12,1230,DOH000000000005284,0,12,2020-04-17,0,0,0,0,0
ORIENTAL MINDORO SOUTHERN DISTRICT HOSPITAL,2020-04-16 17:32:21,2020-04-16 17:32:21,1,686,DOH000000000005285,0,5,2020-04-16,4,0,0,2,0
SAN ANTONIO DISTRICT HOSPITAL,2020-04-16 13:24:55,2020-04-16 13:24:55,0,512,DOH000000000005306,0,2,2020-04-16,0,0,0,0,0
MEDICAL MISSION GROUP OF HOSP AND HEALTH SERVICE- BOHOL COOP,2020-04-17 9:40:55,2020-04-17 9:40:55,0,1205,DOH000000000005354,0,0,2020-04-17,0,0,0,0,0
MEDICAL MISSION GROUP OF HOSP AND HEALTH SERVICE- BOHOL COOP,2020-04-16 10:29:25,2020-04-16 10:29:25,0,365,DOH000000000005354,0,0,2020-04-16,0,0,0,0,0
CITY OF CANDON HOSPITAL,2020-04-16 7:42:59,2020-04-16 7:42:59,0,89,DOH000000000005358,0,1,2020-04-16,0,0,0,0,0
CITY OF CANDON HOSPITAL,2020-04-17 8:17:10,2020-04-17 8:17:10,0,965,DOH000000000005358,0,1,2020-04-17,0,0,0,0,0
HOWARD HUBBARD MEMORIAL HOSPITAL,2020-04-17 8:10:07,2020-04-17 8:10:07,0,926,DOH000000000005359,0,0,2020-04-17,5,0,0,0,0
HOWARD HUBBARD MEMORIAL HOSPITAL,2020-04-16 9:05:28,2020-04-16 9:05:28,0,261,DOH000000000005359,0,0,2020-04-16,5,0,0,0,0
MEDICAL MISSION GROUP HOSPITAL & HEALTH SERVICES COOPERATIVE,2020-04-16 16:15:34,2020-04-16 16:15:34,0,647,DOH000000000005377,0,0,2020-04-16,0,0,0,0,0
MEDICAL MISSION GROUP HOSPITAL & HEALTH SERVICES COOPERATIVE,2020-04-17 14:28:58,2020-04-17 14:28:58,0,1448,DOH000000000005377,0,0,2020-04-17,0,0,0,0,0
PIEDAD MEDICAL CLINIC,2020-04-17 10:28:23,2020-04-17 10:28:23,1,1266,DOH000000000005379,0,1,2020-04-17,0,0,0,0,0
POLOMOLOK MUNICIPAL HOSPITAL,2020-04-17 11:15:00,2020-04-17 11:15:00,0,1318,DOH000000000005381,0,6,2020-04-17,1,0,0,0,0
JOSEFINA BELMONTE DURAN MEMORIAL DISTRICT HOSPITAL,2020-04-17 6:08:28,2020-04-17 6:08:28,0,731,DOH000000000005416,0,5,2020-04-17,0,0,0,0,0
JOSEFINA BELMONTE DURAN MEMORIAL DISTRICT HOSPITAL,2020-04-16 14:29:06,2020-04-16 14:29:06,0,566,DOH000000000005416,0,0,2020-04-16,0,0,0,0,0
"SULTAN KUDARAT MEDICAL SPECIALIST CENTER, INC.",2020-04-16 9:15:38,2020-04-16 9:15:38,0,278,DOH000000000005419,0,1,2020-04-16,0,0,0,0,0
"SULTAN KUDARAT MEDICAL SPECIALIST CENTER, INC.",2020-04-17 9:27:31,2020-04-17 9:27:31,0,1177,DOH000000000005419,0,1,2020-04-17,0,0,0,0,0
SULTAN KUDARAT PROVINCIAL HOSPITAL,2020-04-17 9:31:38,2020-04-17 9:31:38,0,1186,DOH000000000005420,0,2,2020-04-17,0,0,0,0,0
DANAO MOTHER AND CHILD HOSPITAL,2020-04-17 10:09:08,2020-04-17 10:09:08,0,1246,DOH000000000005437,0,0,2020-04-17,0,0,0,0,0
PATHFINDER ESTATE HOSPITAL,2020-04-17 7:52:49,2020-04-17 7:52:49,0,846,DOH000000000005446,0,0,2020-04-17,0,0,0,0,0
PATHFINDER ESTATE HOSPITAL,2020-04-16 7:42:19,2020-04-16 7:42:19,0,88,DOH000000000005446,0,0,2020-04-16,0,0,0,0,0
INFANTE HOSPITAL MANAGEMENT CORPORATION,2020-04-16 15:08:43,2020-04-16 15:08:43,0,594,DOH000000000005452,0,2,2020-04-16,0,0,0,0,2
INFANTE HOSPITAL MANAGEMENT CORPORATION,2020-04-17 8:06:05,2020-04-17 8:06:05,0,901,DOH000000000005452,0,2,2020-04-17,0,0,0,0,2
KABASALAN GENRAL HOSPITAL,2020-04-17 11:14:12,2020-04-17 11:14:12,0,1316,DOH000000000005454,0,0,2020-04-17,0,0,0,0,0
KABASALAN GENRAL HOSPITAL,2020-04-16 7:07:08,2020-04-16 7:07:08,0,43,DOH000000000005454,0,0,2020-04-16,0,0,0,0,0
SAN MARIANO COMMUNITY HOSPITAL,2020-04-17 12:02:12,2020-04-17 12:02:12,0,1360,DOH000000000005461,0,1,2020-04-17,0,0,0,0,0
SAN MARIANO COMMUNITY HOSPITAL,2020-04-16 15:15:31,2020-04-16 15:15:31,0,603,DOH000000000005461,0,1,2020-04-16,0,0,0,0,0
OUR LADY OF GRACE HOSPITAL INC.,2020-04-16 12:13:57,2020-04-16 12:13:57,0,460,DOH000000000005484,0,0,2020-04-16,0,0,0,0,0
PINAMALAYAN DOCTORS HOSPITAL,2020-04-16 12:58:20,2020-04-16 12:58:20,0,491,DOH000000000005501,0,1,2020-04-16,1,0,0,0,0
PINAMALAYAN DOCTORS HOSPITAL,2020-04-17 8:10:53,2020-04-17 8:10:53,0,931,DOH000000000005501,0,1,2020-04-17,1,0,0,0,0
THE ROSS MAURICIO MEMORIAL HOSPITAL,2020-04-17 11:51:45,2020-04-17 11:51:45,0,1352,DOH000000000005525,0,0,2020-04-17,0,0,0,0,0
THE ROSS MAURICIO MEMORIAL HOSPITAL,2020-04-16 9:14:19,2020-04-16 9:14:19,0,277,DOH000000000005525,0,0,2020-04-16,0,0,0,0,0
TOMAS-CACAL MEDICAL CLINIC & HOSPITAL,2020-04-17 7:33:13,2020-04-17 7:33:13,0,807,DOH000000000005526,0,0,2020-04-17,0,0,0,0,0
TOMAS-CACAL MEDICAL CLINIC & HOSPITAL,2020-04-16 9:16:22,2020-04-16 9:16:22,0,279,DOH000000000005526,0,0,2020-04-16,0,0,0,0,0
"ST. PAUL HOSPITAL BULACAN, INC.",2020-04-16 8:05:23,2020-04-16 8:05:23,0,129,DOH000000000005565,0,1,2020-04-16,0,0,0,0,1
"PLTC, INC. LUIS A. TIAM MEDICAL CENTER",2020-04-17 8:54:13,2020-04-17 8:54:13,14,1113,DOH000000000005566,0,0,2020-04-17,0,0,0,1,0
"PLTC, INC. LUIS A. TIAM MEDICAL CENTER",2020-04-16 16:28:33,2020-04-16 16:28:33,14,656,DOH000000000005566,0,0,2020-04-16,0,0,0,1,0
"ILOILO DOCTORS? HOSPITAL, INCORPORATED",2020-04-16 13:40:05,2020-04-16 13:40:05,0,521,DOH000000000005567,0,0,2020-04-16,3,1,0,0,0
FR. GERRY FILIPPETTO MEMORIAL FOUNDATION HOSPITAL,2020-04-17 9:05:02,2020-04-17 9:05:02,0,1141,DOH000000000005597,0,1,2020-04-17,0,0,0,0,0
FR. GERRY FILIPPETTO MEMORIAL FOUNDATION HOSPITAL,2020-04-16 8:53:31,2020-04-16 8:53:31,0,241,DOH000000000005597,0,1,2020-04-16,0,0,0,0,0
BADIAN DISTRICT HOSPITAL,2020-04-16 9:50:27,2020-04-16 9:50:27,0,320,DOH000000000005630,0,1,2020-04-16,0,0,0,0,0
BADIAN DISTRICT HOSPITAL,2020-04-17 8:23:50,2020-04-17 8:23:50,0,1002,DOH000000000005630,0,1,2020-04-17,0,0,0,0,0
QUIRINO PROVINCE MEDICAL CENTER,2020-04-17 10:03:53,2020-04-17 10:03:53,0,1238,DOH000000000005639,0,2,2020-04-17,0,0,0,0,0
QUIRINO PROVINCE MEDICAL CENTER,2020-04-16 8:06:52,2020-04-16 8:06:52,0,132,DOH000000000005639,0,2,2020-04-16,0,0,0,0,0
DAVAO ORIENTAL PROV'L HOSP- GOV. GENEROSO,2020-04-17 9:40:29,2020-04-17 9:40:29,0,1204,DOH000000000005641,0,8,2020-04-17,0,0,0,0,0
DAVAO ORIENTAL PROV'L HOSP- GOV. GENEROSO,2020-04-16 9:08:12,2020-04-16 9:08:12,0,268,DOH000000000005641,0,8,2020-04-16,0,0,0,0,0
SALOMON-MANGILET MATERNITY AND MEDICAL HOSPITAL,2020-04-16 15:08:18,2020-04-16 15:08:18,0,593,DOH000000000005642,0,0,2020-04-16,0,0,0,0,0
SALOMON-MANGILET MATERNITY AND MEDICAL HOSPITAL,2020-04-17 9:56:46,2020-04-17 9:56:46,0,1226,DOH000000000005642,0,0,2020-04-17,0,0,0,0,0
CICOSAT HOSPITAL,2020-04-16 10:33:30,2020-04-16 10:33:30,0,368,DOH000000000005662,0,0,2020-04-16,0,0,0,0,0
CICOSAT HOSPITAL,2020-04-17 10:51:20,2020-04-17 10:51:20,0,1294,DOH000000000005662,0,0,2020-04-17,0,0,0,0,0
CONGRESSMAN NATALIO P. CASTILLO SENIOR MEMORIAL HOSPITAL,2020-04-17 8:23:36,2020-04-17 8:23:36,0,1000,DOH000000000005667,0,2,2020-04-17,0,0,0,0,0
CONGRESSMAN NATALIO P. CASTILLO SENIOR MEMORIAL HOSPITAL,2020-04-16 14:07:49,2020-04-16 14:07:49,0,543,DOH000000000005667,0,2,2020-04-16,0,0,0,0,0
SEAMEN?S HOSPITAL,2020-04-17 7:11:50,2020-04-17 7:11:50,0,771,DOH000000000005687,0,0,2020-04-17,2,0,0,0,0
SEAMEN?S HOSPITAL,2020-04-16 14:13:27,2020-04-16 14:13:27,0,552,DOH000000000005687,0,0,2020-04-16,2,0,0,0,0
ILOCOS SUR COOPERATIVE MEDICAL MISSION GROUP AND HOSPITAL,2020-04-16 12:47:46,2020-04-16 12:47:46,0,483,DOH000000000005694,0,0,2020-04-16,0,0,0,0,0
ILOCOS SUR COOPERATIVE MEDICAL MISSION GROUP AND HOSPITAL,2020-04-17 9:05:37,2020-04-17 9:05:37,0,1142,DOH000000000005694,0,0,2020-04-17,0,0,0,0,0
SOUTHWESTERN UNIVERSITY MEDICAL CENTER,2020-04-17 10:57:42,2020-04-17 10:57:42,0,1303,DOH000000000005695,0,1,2020-04-17,0,0,0,0,0
JAIME B. BERCES MEMORIAL HOSPITAL,2020-04-16 8:22:11,2020-04-16 8:22:11,0,169,DOH000000000005708,0,0,2020-04-16,0,0,0,0,0
JAIME B. BERCES MEMORIAL HOSPITAL,2020-04-17 7:18:48,2020-04-17 7:18:48,0,782,DOH000000000005708,0,0,2020-04-17,0,0,0,0,0
KASIBU MUNICIPAL HOSPITAL,2020-04-16 12:35:24,2020-04-16 12:35:24,0,477,DOH000000000005735,0,9,2020-04-16,1,0,0,0,0
KASIBU MUNICIPAL HOSPITAL,2020-04-17 8:30:33,2020-04-17 8:30:33,0,1025,DOH000000000005735,0,10,2020-04-17,0,0,0,0,0
MCU-FDT MEDICAL FOUNDATION HOSPITAL,2020-04-16 18:11:41,2020-04-16 18:11:41,0,700,DOH000000000005738,0,0,2020-04-16,5,0,0,0,0
LOURDES HOSPITAL,2020-04-17 8:56:26,2020-04-17 8:56:26,0,1123,DOH000000000005758,0,0,2020-04-17,0,0,0,0,0
LOURDES HOSPITAL,2020-04-16 9:12:27,2020-04-16 9:12:27,0,275,DOH000000000005758,0,2,2020-04-16,0,0,0,0,0
THE MEDICAL CITY PANGASINAN,2020-04-17 8:36:18,2020-04-17 8:36:18,0,1052,DOH000000000005789,0,0,2020-04-17,0,0,0,0,0
"RICARDO LIMSO MEDICAL CENTER, INC.",2020-04-17 9:11:34,2020-04-17 9:11:34,0,1151,DOH000000000005811,0,0,2020-04-17,0,0,0,0,0
CATIGBIAN DISTRICT HOSPITAL,2020-04-16 15:11:16,2020-04-16 15:11:16,0,598,DOH000000000005925,0,8,2020-04-16,0,0,0,0,0
CATIGBIAN DISTRICT HOSPITAL,2020-04-17 14:55:41,2020-04-17 14:55:41,0,1466,DOH000000000005925,0,8,2020-04-17,0,0,0,0,0
PROSPERO G. BELLO INTEGRATED COMMUNITY HOSPITAL,2020-04-16 11:13:44,2020-04-16 11:13:44,0,401,DOH000000000005928,0,2,2020-04-16,0,0,0,0,0
TABLAS ISLAND DISTRICT HOSPITAL,2020-04-17 12:36:08,2020-04-17 12:36:08,2,1377,DOH000000000005932,0,2,2020-04-17,0,0,0,0,0
TABLAS ISLAND DISTRICT HOSPITAL,2020-04-16 11:59:52,2020-04-16 11:59:52,2,447,DOH000000000005932,0,2,2020-04-16,0,0,0,0,0
ROMBLON DISTRICT HOSPITAL,2020-04-16 9:26:17,2020-04-16 9:26:17,0,293,DOH000000000005934,0,0,2020-04-16,0,0,0,0,0
TORRIJOS MUNICIPAL HOSPITAL,2020-04-17 10:06:37,2020-04-17 10:06:37,0,1244,DOH000000000005938,0,0,2020-04-17,0,0,0,0,0
TORRIJOS MUNICIPAL HOSPITAL,2020-04-16 10:45:40,2020-04-16 10:45:40,0,383,DOH000000000005938,0,0,2020-04-16,0,0,0,0,0
ASINGAN COMMUNITY HOSPITAL,2020-04-17 9:52:56,2020-04-17 9:52:56,0,1223,DOH000000000005939,0,5,2020-04-17,0,0,0,0,0
ASINGAN COMMUNITY HOSPITAL,2020-04-16 15:22:02,2020-04-16 15:22:02,0,607,DOH000000000005939,0,5,2020-04-16,0,0,0,0,0
DIFFUN DISTRICT HOSPITAL,2020-04-17 8:17:25,2020-04-17 8:17:25,0,970,DOH000000000005940,0,0,2020-04-17,0,0,0,0,0
DIFFUN DISTRICT HOSPITAL,2020-04-16 9:05:13,2020-04-16 9:05:13,0,260,DOH000000000005940,0,0,2020-04-16,0,0,0,0,0
TUMAUINI COMMUNITY HOSPITAL,2020-04-17 8:16:48,2020-04-17 8:16:48,0,964,DOH000000000005941,0,0,2020-04-17,0,0,0,0,0
TUMAUINI COMMUNITY HOSPITAL,2020-04-16 14:08:59,2020-04-16 14:08:59,0,545,DOH000000000005941,0,0,2020-04-16,0,0,0,0,0
RETUERMA GENERAL HOSPITAL,2020-04-16 7:49:34,2020-04-16 7:49:34,0,98,DOH000000000005962,0,0,2020-04-16,0,0,0,0,0
RETUERMA GENERAL HOSPITAL,2020-04-17 7:15:01,2020-04-17 7:15:01,0,777,DOH000000000005962,0,0,2020-04-17,0,0,0,0,0
DIVINE WORD HOSPITAL,2020-04-17 8:48:31,2020-04-17 8:48:31,0,1095,DOH000000000005964,0,1,2020-04-17,0,0,0,0,0
DIVINE WORD HOSPITAL,2020-04-16 8:42:10,2020-04-16 8:42:10,0,212,DOH000000000005964,0,1,2020-04-16,0,0,0,0,0
BENDIJO HOSPITAL,2020-04-17 8:49:16,2020-04-17 8:49:16,0,1099,DOH000000000005969,0,0,2020-04-17,0,0,0,0,0
BENDIJO HOSPITAL,2020-04-16 9:05:41,2020-04-16 9:05:41,0,262,DOH000000000005969,0,0,2020-04-16,0,0,0,0,0
GRACE MISSION HOSPITAL,2020-04-16 17:08:08,2020-04-16 17:08:08,0,675,DOH000000000005970,0,0,2020-04-16,3,0,0,0,0
GRACE MISSION HOSPITAL,2020-04-17 9:13:25,2020-04-17 9:13:25,0,1156,DOH000000000005970,0,0,2020-04-17,3,0,0,0,0
"ST. PETER AND PAUL HOSPITAL OF SORSOGON, INC.",2020-04-17 13:20:06,2020-04-17 13:20:06,0,1407,DOH000000000005974,0,0,2020-04-17,0,0,0,0,0
MARY IMMACULATE MATERNITY AND GENERAL HOSPITAL,2020-04-16 10:12:56,2020-04-16 10:12:56,0,347,DOH000000000005975,0,1,2020-04-16,0,0,0,0,0
MARY IMMACULATE MATERNITY AND GENERAL HOSPITAL,2020-04-17 9:35:20,2020-04-17 9:35:20,0,1189,DOH000000000005975,0,1,2020-04-17,0,0,0,0,0
CANDON ST. MARTIN DE PORRES HOSPITAL,2020-04-16 11:46:57,2020-04-16 11:46:57,0,429,DOH000000000005976,0,1,2020-04-16,0,0,0,0,0
CANDON ST. MARTIN DE PORRES HOSPITAL,2020-04-17 8:38:38,2020-04-17 8:38:38,0,1065,DOH000000000005976,0,1,2020-04-17,0,0,0,0,0
ALBOR DISTRICT HOSPITAL,2020-04-17 8:34:46,2020-04-17 8:34:46,0,1040,DOH000000000005988,0,1,2020-04-17,0,0,0,0,0
ANAHAWAN DISTRICT HOSPITAL,2020-04-17 11:49:56,2020-04-17 11:49:56,0,1350,DOH000000000005990,0,2,2020-04-17,0,0,0,0,0
ANDOT MEDICAL CLINIC,2020-04-17 9:12:17,2020-04-17 9:12:17,0,1153,DOH000000000005991,0,4,2020-04-17,0,0,0,0,0
ANDOT MEDICAL CLINIC,2020-04-16 14:51:03,2020-04-16 14:51:03,0,585,DOH000000000005991,0,0,2020-04-16,0,0,0,0,0
CATARMAN DISTRICT HOSPITAL,2020-04-17 12:34:35,2020-04-17 12:34:35,0,1375,DOH000000000006004,0,0,2020-04-17,0,0,0,0,0
JASAAN MUNICIPAL HOSPITAL,2020-04-16 13:07:34,2020-04-16 13:07:34,0,499,DOH000000000006020,0,0,2020-04-16,0,0,0,0,0
OLEGARIO GENERAL HOSPITAL,2020-04-17 8:31:05,2020-04-17 8:31:05,0,1028,DOH000000000006026,0,1,2020-04-17,0,0,0,0,0
OLEGARIO GENERAL HOSPITAL,2020-04-16 8:24:41,2020-04-16 8:24:41,0,173,DOH000000000006026,0,1,2020-04-16,0,0,0,0,0
M. SIMON HOSPITAL & PHARMACY,2020-04-16 9:42:52,2020-04-16 9:42:52,0,313,DOH000000000006029,0,0,2020-04-16,0,0,0,0,0
M. SIMON HOSPITAL & PHARMACY,2020-04-17 12:54:18,2020-04-17 12:54:18,0,1393,DOH000000000006029,0,0,2020-04-17,0,0,0,0,0
NATIONAL CHILDREN?S HOSPITAL,2020-04-17 14:30:15,2020-04-17 14:30:15,0,1450,DOH000000000006046,4,5,2020-04-17,1,0,0,0,9
SURIGAO DEL NORTE PROVINCIAL HOSPITAL,2020-04-17 7:44:16,2020-04-17 7:44:16,0,824,DOH000000000006060,0,0,2020-04-17,0,0,0,0,0
SURIGAO DEL NORTE PROVINCIAL HOSPITAL,2020-04-16 7:14:22,2020-04-16 7:14:22,0,49,DOH000000000006060,0,0,2020-04-16,0,0,0,0,0
Eversley Childs Sanitarium,2020-04-15 21:14:32,2020-04-15 21:14:32,0,10,DOH000000000006493,0,1,2020-04-15,0,0,0,0,0
Eversley Childs Sanitarium,2020-04-17 7:58:58,2020-04-17 7:58:58,0,865,DOH000000000006493,0,6,2020-04-17,6,0,0,0,0
Eversley Childs Sanitarium,2020-04-16 9:29:16,2020-04-16 9:29:16,0,297,DOH000000000006493,0,3,2020-04-16,9,0,0,0,0
