cfname,updateddate,addeddate,hfhudcode,beds_ward_v,reportdate,id,isolbed_v,icu_o,beds_ward_o,icu_v,isolbed_o,mechvent_o,mechvent_v
MARIHATAG DISTRICT HOSPITAL,2020-04-16 8:37:43,2020-04-16 8:37:43,DOH000000000005204,0,2020-04-16,198,0,0,0,0,0,0,0
MARIHATAG DISTRICT HOSPITAL,2020-04-18 9:29:00,2020-04-18 9:29:00,DOH000000000005204,0,2020-04-18,2067,0,0,0,0,0,0,0
MARIHATAG DISTRICT HOSPITAL,2020-04-17 8:26:21,2020-04-17 8:26:21,DOH000000000005204,0,2020-04-17,1009,0,0,0,0,0,0,0
TADECO HOSPITAL,2020-04-16 7:27:20,2020-04-16 7:27:20,DOH000000000005224,0,2020-04-16,69,0,0,0,0,0,0,0
TADECO HOSPITAL,2020-04-17 7:29:13,2020-04-17 7:29:13,DOH000000000005224,0,2020-04-17,797,0,0,0,0,0,0,0
TADECO HOSPITAL,2020-04-18 7:44:13,2020-04-18 7:44:13,DOH000000000005224,0,2020-04-18,1695,0,0,0,0,0,0,0
LIZASO HOSPITAL,2020-04-16 5:51:23,2020-04-16 5:51:23,DOH000000000005233,0,2020-04-16,17,0,0,0,0,0,0,0
LIZASO HOSPITAL,2020-04-17 5:50:34,2020-04-17 5:50:34,DOH000000000005233,0,2020-04-17,725,0,0,0,0,0,0,0
LIZASO HOSPITAL,2020-04-18 6:57:26,2020-04-18 6:57:26,DOH000000000005233,0,2020-04-18,1624,0,0,0,0,0,0,0
ABRA DE ILOG MUNICIPAL HOSPITAL,2020-04-17 10:56:26,2020-04-17 10:56:26,DOH000000000005252,0,2020-04-17,1298,0,0,0,0,0,0,0
ABRA DE ILOG MUNICIPAL HOSPITAL,2020-04-16 10:12:12,2020-04-16 10:12:12,DOH000000000005252,0,2020-04-16,346,0,0,0,0,0,0,0
ABRA DE ILOG MUNICIPAL HOSPITAL,2020-04-18 10:11:33,2020-04-18 10:11:33,DOH000000000005252,0,2020-04-18,2119,0,0,0,0,0,0,0
"QUIJANO CLINIC AND HOSPITAL, INC.",2020-04-16 15:40:16,2020-04-16 15:40:16,DOH000000000005265,0,2020-04-16,619,0,0,0,0,0,0,0
"QUIJANO CLINIC AND HOSPITAL, INC.",2020-04-18 9:36:49,2020-04-18 9:36:49,DOH000000000005265,0,2020-04-18,2080,0,0,0,0,0,0,0
"QUIJANO CLINIC AND HOSPITAL, INC.",2020-04-17 12:03:45,2020-04-17 12:03:45,DOH000000000005265,0,2020-04-17,1362,0,0,0,0,0,0,0
TUBIGON COMMUNITY HOSPITAL,2020-04-17 9:59:30,2020-04-17 9:59:30,DOH000000000005284,12,2020-04-17,1230,12,0,0,0,0,0,0
TUBIGON COMMUNITY HOSPITAL,2020-04-16 13:40:24,2020-04-16 13:40:24,DOH000000000005284,12,2020-04-16,522,12,0,0,0,0,0,0
ORIENTAL MINDORO SOUTHERN DISTRICT HOSPITAL,2020-04-16 17:32:21,2020-04-16 17:32:21,DOH000000000005285,1,2020-04-16,686,5,0,2,0,4,0,0
SAN ANTONIO DISTRICT HOSPITAL,2020-04-16 13:24:55,2020-04-16 13:24:55,DOH000000000005306,0,2020-04-16,512,2,0,0,0,0,0,0
MEDICAL MISSION GROUP OF HOSP AND HEALTH SERVICE- BOHOL COOP,2020-04-17 9:40:55,2020-04-17 9:40:55,DOH000000000005354,0,2020-04-17,1205,0,0,0,0,0,0,0
MEDICAL MISSION GROUP OF HOSP AND HEALTH SERVICE- BOHOL COOP,2020-04-16 10:29:25,2020-04-16 10:29:25,DOH000000000005354,0,2020-04-16,365,0,0,0,0,0,0,0
CITY OF CANDON HOSPITAL,2020-04-17 8:17:10,2020-04-17 8:17:10,DOH000000000005358,0,2020-04-17,965,1,0,0,0,0,0,0
CITY OF CANDON HOSPITAL,2020-04-16 7:42:59,2020-04-16 7:42:59,DOH000000000005358,0,2020-04-16,89,1,0,0,0,0,0,0
HOWARD HUBBARD MEMORIAL HOSPITAL,2020-04-17 8:10:07,2020-04-17 8:10:07,DOH000000000005359,0,2020-04-17,926,0,0,0,0,5,0,0
HOWARD HUBBARD MEMORIAL HOSPITAL,2020-04-18 8:58:12,2020-04-18 8:58:12,DOH000000000005359,0,2020-04-18,1997,0,0,0,0,2,0,0
HOWARD HUBBARD MEMORIAL HOSPITAL,2020-04-16 9:05:28,2020-04-16 9:05:28,DOH000000000005359,0,2020-04-16,261,0,0,0,0,5,0,0
MEDICAL MISSION GROUP HOSPITAL & HEALTH SERVICES COOPERATIVE,2020-04-16 16:15:34,2020-04-16 16:15:34,DOH000000000005377,0,2020-04-16,647,0,0,0,0,0,0,0
MEDICAL MISSION GROUP HOSPITAL & HEALTH SERVICES COOPERATIVE,2020-04-18 7:03:15,2020-04-18 7:03:15,DOH000000000005377,0,2020-04-18,1629,0,0,0,0,0,0,0
MEDICAL MISSION GROUP HOSPITAL & HEALTH SERVICES COOPERATIVE,2020-04-17 14:28:58,2020-04-17 14:28:58,DOH000000000005377,0,2020-04-17,1448,0,0,0,0,0,0,0
PIEDAD MEDICAL CLINIC,2020-04-18 6:57:43,2020-04-18 6:57:43,DOH000000000005379,1,2020-04-18,1625,1,0,0,0,0,0,0
PIEDAD MEDICAL CLINIC,2020-04-17 10:28:23,2020-04-17 10:28:23,DOH000000000005379,1,2020-04-17,1266,1,0,0,0,0,0,0
POLOMOLOK MUNICIPAL HOSPITAL,2020-04-17 11:15:00,2020-04-17 11:15:00,DOH000000000005381,0,2020-04-17,1318,6,0,0,0,1,0,0
JOSEFINA BELMONTE DURAN MEMORIAL DISTRICT HOSPITAL,2020-04-17 6:08:28,2020-04-17 6:08:28,DOH000000000005416,0,2020-04-17,731,5,0,0,0,0,0,0
JOSEFINA BELMONTE DURAN MEMORIAL DISTRICT HOSPITAL,2020-04-18 7:49:49,2020-04-18 7:49:49,DOH000000000005416,0,2020-04-18,1715,5,0,0,0,0,0,0
JOSEFINA BELMONTE DURAN MEMORIAL DISTRICT HOSPITAL,2020-04-16 14:29:06,2020-04-16 14:29:06,DOH000000000005416,0,2020-04-16,566,0,0,0,0,0,0,0
"OUR LADY OF MERCY GENERAL HOSPITAL, INC.",2020-04-18 10:23:28,2020-04-18 10:23:28,DOH000000000005417,0,2020-04-18,2128,0,0,1,0,0,0,0
"SULTAN KUDARAT MEDICAL SPECIALIST CENTER, INC.",2020-04-17 9:27:31,2020-04-17 9:27:31,DOH000000000005419,0,2020-04-17,1177,1,0,0,0,0,0,0
"SULTAN KUDARAT MEDICAL SPECIALIST CENTER, INC.",2020-04-16 9:15:38,2020-04-16 9:15:38,DOH000000000005419,0,2020-04-16,278,1,0,0,0,0,0,0
"SULTAN KUDARAT MEDICAL SPECIALIST CENTER, INC.",2020-04-18 8:35:33,2020-04-18 8:35:33,DOH000000000005419,0,2020-04-18,1936,1,0,0,0,0,0,0
SULTAN KUDARAT PROVINCIAL HOSPITAL,2020-04-17 9:31:38,2020-04-17 9:31:38,DOH000000000005420,0,2020-04-17,1186,2,0,0,0,0,0,0
DANAO MOTHER AND CHILD HOSPITAL,2020-04-18 11:47:31,2020-04-18 11:47:31,DOH000000000005437,0,2020-04-18,2223,0,0,0,0,0,0,0
DANAO MOTHER AND CHILD HOSPITAL,2020-04-17 10:09:08,2020-04-17 10:09:08,DOH000000000005437,0,2020-04-17,1246,0,0,0,0,0,0,0
PATHFINDER ESTATE HOSPITAL,2020-04-18 7:44:37,2020-04-18 7:44:37,DOH000000000005446,0,2020-04-18,1701,0,0,0,0,0,0,0
PATHFINDER ESTATE HOSPITAL,2020-04-17 7:52:49,2020-04-17 7:52:49,DOH000000000005446,0,2020-04-17,846,0,0,0,0,0,0,0
PATHFINDER ESTATE HOSPITAL,2020-04-16 7:42:19,2020-04-16 7:42:19,DOH000000000005446,0,2020-04-16,88,0,0,0,0,0,0,0
INFANTE HOSPITAL MANAGEMENT CORPORATION,2020-04-16 15:08:43,2020-04-16 15:08:43,DOH000000000005452,0,2020-04-16,594,2,0,0,2,0,0,0
INFANTE HOSPITAL MANAGEMENT CORPORATION,2020-04-17 8:06:05,2020-04-17 8:06:05,DOH000000000005452,0,2020-04-17,901,2,0,0,2,0,0,0
INFANTE HOSPITAL MANAGEMENT CORPORATION,2020-04-18 8:06:08,2020-04-18 8:06:08,DOH000000000005452,0,2020-04-18,1806,2,0,0,2,0,0,0
KABASALAN GENRAL HOSPITAL,2020-04-18 8:37:28,2020-04-18 8:37:28,DOH000000000005454,0,2020-04-18,1944,0,0,0,0,0,0,0
KABASALAN GENRAL HOSPITAL,2020-04-17 11:14:12,2020-04-17 11:14:12,DOH000000000005454,0,2020-04-17,1316,0,0,0,0,0,0,0
KABASALAN GENRAL HOSPITAL,2020-04-16 7:07:08,2020-04-16 7:07:08,DOH000000000005454,0,2020-04-16,43,0,0,0,0,0,0,0
SAN MARIANO COMMUNITY HOSPITAL,2020-04-18 8:03:08,2020-04-18 8:03:08,DOH000000000005461,0,2020-04-18,1780,1,0,0,0,0,0,0
SAN MARIANO COMMUNITY HOSPITAL,2020-04-17 12:02:12,2020-04-17 12:02:12,DOH000000000005461,0,2020-04-17,1360,1,0,0,0,0,0,0
SAN MARIANO COMMUNITY HOSPITAL,2020-04-16 15:15:31,2020-04-16 15:15:31,DOH000000000005461,0,2020-04-16,603,1,0,0,0,0,0,0
OUR LADY OF GRACE HOSPITAL INC.,2020-04-16 12:13:57,2020-04-16 12:13:57,DOH000000000005484,0,2020-04-16,460,0,0,0,0,0,0,0
PINAMALAYAN DOCTORS HOSPITAL,2020-04-18 7:58:04,2020-04-18 7:58:04,DOH000000000005501,0,2020-04-18,1743,1,0,0,0,1,0,0
PINAMALAYAN DOCTORS HOSPITAL,2020-04-16 12:58:20,2020-04-16 12:58:20,DOH000000000005501,0,2020-04-16,491,1,0,0,0,1,0,0
PINAMALAYAN DOCTORS HOSPITAL,2020-04-17 8:10:53,2020-04-17 8:10:53,DOH000000000005501,0,2020-04-17,931,1,0,0,0,1,0,0
THE ROSS MAURICIO MEMORIAL HOSPITAL,2020-04-16 9:14:19,2020-04-16 9:14:19,DOH000000000005525,0,2020-04-16,277,0,0,0,0,0,0,0
THE ROSS MAURICIO MEMORIAL HOSPITAL,2020-04-18 13:47:08,2020-04-18 13:47:08,DOH000000000005525,0,2020-04-18,2287,0,0,0,0,0,0,0
THE ROSS MAURICIO MEMORIAL HOSPITAL,2020-04-17 11:51:45,2020-04-17 11:51:45,DOH000000000005525,0,2020-04-17,1352,0,0,0,0,0,0,0
TOMAS-CACAL MEDICAL CLINIC & HOSPITAL,2020-04-16 9:16:22,2020-04-16 9:16:22,DOH000000000005526,0,2020-04-16,279,0,0,0,0,0,0,0
TOMAS-CACAL MEDICAL CLINIC & HOSPITAL,2020-04-17 7:33:13,2020-04-17 7:33:13,DOH000000000005526,0,2020-04-17,807,0,0,0,0,0,0,0
TOMAS-CACAL MEDICAL CLINIC & HOSPITAL,2020-04-18 7:37:43,2020-04-18 7:37:43,DOH000000000005526,0,2020-04-18,1687,0,0,0,0,0,0,0
"ST. PAUL HOSPITAL BULACAN, INC.",2020-04-16 8:05:23,2020-04-16 8:05:23,DOH000000000005565,0,2020-04-16,129,1,0,0,1,0,0,0
"PLTC, INC. LUIS A. TIAM MEDICAL CENTER",2020-04-16 16:28:33,2020-04-16 16:28:33,DOH000000000005566,14,2020-04-16,656,0,0,1,0,0,0,0
"PLTC, INC. LUIS A. TIAM MEDICAL CENTER",2020-04-18 8:45:13,2020-04-18 8:45:13,DOH000000000005566,14,2020-04-18,1961,0,0,1,0,0,0,0
"PLTC, INC. LUIS A. TIAM MEDICAL CENTER",2020-04-17 8:54:13,2020-04-17 8:54:13,DOH000000000005566,14,2020-04-17,1113,0,0,1,0,0,0,0
"ILOILO DOCTORS? HOSPITAL, INCORPORATED",2020-04-16 13:40:05,2020-04-16 13:40:05,DOH000000000005567,0,2020-04-16,521,0,0,0,0,3,1,0
"ILOILO DOCTORS? HOSPITAL, INCORPORATED",2020-04-17 17:01:43,2020-04-17 17:01:43,DOH000000000005567,0,2020-04-17,1540,0,0,0,0,3,1,0
"ILOILO DOCTORS? HOSPITAL, INCORPORATED",2020-04-18 11:29:03,2020-04-18 11:29:03,DOH000000000005567,0,2020-04-18,2197,1,0,0,0,2,1,0
FR. GERRY FILIPPETTO MEMORIAL FOUNDATION HOSPITAL,2020-04-18 12:20:59,2020-04-18 12:20:59,DOH000000000005597,0,2020-04-18,2241,1,0,0,0,0,0,0
FR. GERRY FILIPPETTO MEMORIAL FOUNDATION HOSPITAL,2020-04-16 8:53:31,2020-04-16 8:53:31,DOH000000000005597,0,2020-04-16,241,1,0,0,0,0,0,0
FR. GERRY FILIPPETTO MEMORIAL FOUNDATION HOSPITAL,2020-04-17 9:05:02,2020-04-17 9:05:02,DOH000000000005597,0,2020-04-17,1141,1,0,0,0,0,0,0
BADIAN DISTRICT HOSPITAL,2020-04-16 9:50:27,2020-04-16 9:50:27,DOH000000000005630,0,2020-04-16,320,1,0,0,0,0,0,0
BADIAN DISTRICT HOSPITAL,2020-04-17 8:23:50,2020-04-17 8:23:50,DOH000000000005630,0,2020-04-17,1002,1,0,0,0,0,0,0
BADIAN DISTRICT HOSPITAL,2020-04-18 10:32:22,2020-04-18 10:32:22,DOH000000000005630,0,2020-04-18,2139,1,0,0,0,0,0,0
QUIRINO PROVINCE MEDICAL CENTER,2020-04-17 10:03:53,2020-04-17 10:03:53,DOH000000000005639,0,2020-04-17,1238,2,0,0,0,0,0,0
QUIRINO PROVINCE MEDICAL CENTER,2020-04-18 9:34:41,2020-04-18 9:34:41,DOH000000000005639,0,2020-04-18,2078,2,0,0,0,0,0,0
QUIRINO PROVINCE MEDICAL CENTER,2020-04-16 8:06:52,2020-04-16 8:06:52,DOH000000000005639,0,2020-04-16,132,2,0,0,0,0,0,0
DAVAO ORIENTAL PROV'L HOSP- GOV. GENEROSO,2020-04-16 9:08:12,2020-04-16 9:08:12,DOH000000000005641,0,2020-04-16,268,8,0,0,0,0,0,0
DAVAO ORIENTAL PROV'L HOSP- GOV. GENEROSO,2020-04-17 9:40:29,2020-04-17 9:40:29,DOH000000000005641,0,2020-04-17,1204,8,0,0,0,0,0,0
DAVAO ORIENTAL PROV'L HOSP- GOV. GENEROSO,2020-04-18 8:47:07,2020-04-18 8:47:07,DOH000000000005641,0,2020-04-18,1965,8,0,0,0,0,0,0
SALOMON-MANGILET MATERNITY AND MEDICAL HOSPITAL,2020-04-16 15:08:18,2020-04-16 15:08:18,DOH000000000005642,0,2020-04-16,593,0,0,0,0,0,0,0
SALOMON-MANGILET MATERNITY AND MEDICAL HOSPITAL,2020-04-17 9:56:46,2020-04-17 9:56:46,DOH000000000005642,0,2020-04-17,1226,0,0,0,0,0,0,0
SACRED HEART MEDICAL CENTER,2020-04-17 20:06:43,2020-04-17 20:06:43,DOH000000000005661,0,2020-04-17,1572,1,0,0,1,1,0,0
CICOSAT HOSPITAL,2020-04-18 8:48:39,2020-04-18 8:48:39,DOH000000000005662,0,2020-04-18,1970,0,0,0,0,0,0,0
CICOSAT HOSPITAL,2020-04-17 10:51:20,2020-04-17 10:51:20,DOH000000000005662,0,2020-04-17,1294,0,0,0,0,0,0,0
CICOSAT HOSPITAL,2020-04-16 10:33:30,2020-04-16 10:33:30,DOH000000000005662,0,2020-04-16,368,0,0,0,0,0,0,0
CONGRESSMAN NATALIO P. CASTILLO SENIOR MEMORIAL HOSPITAL,2020-04-16 14:07:49,2020-04-16 14:07:49,DOH000000000005667,0,2020-04-16,543,2,0,0,0,0,0,0
CONGRESSMAN NATALIO P. CASTILLO SENIOR MEMORIAL HOSPITAL,2020-04-17 8:23:36,2020-04-17 8:23:36,DOH000000000005667,0,2020-04-17,1000,2,0,0,0,0,0,0
PHILLIPS MEMORIAL HOSPITAL,2020-04-18 13:11:37,2020-04-18 13:11:37,DOH000000000005671,0,2020-04-18,2270,8,0,0,0,0,0,0
SEAMEN?S HOSPITAL,2020-04-16 14:13:27,2020-04-16 14:13:27,DOH000000000005687,0,2020-04-16,552,0,0,0,0,2,0,0
SEAMEN?S HOSPITAL,2020-04-18 7:17:49,2020-04-18 7:17:49,DOH000000000005687,0,2020-04-18,1649,0,0,0,0,2,0,0
SEAMEN?S HOSPITAL,2020-04-17 7:11:50,2020-04-17 7:11:50,DOH000000000005687,0,2020-04-17,771,0,0,0,0,2,0,0
ILOCOS SUR COOPERATIVE MEDICAL MISSION GROUP AND HOSPITAL,2020-04-18 12:37:07,2020-04-18 12:37:07,DOH000000000005694,0,2020-04-18,2255,0,0,0,0,0,0,0
ILOCOS SUR COOPERATIVE MEDICAL MISSION GROUP AND HOSPITAL,2020-04-16 12:47:46,2020-04-16 12:47:46,DOH000000000005694,0,2020-04-16,483,0,0,0,0,0,0,0
ILOCOS SUR COOPERATIVE MEDICAL MISSION GROUP AND HOSPITAL,2020-04-17 9:05:37,2020-04-17 9:05:37,DOH000000000005694,0,2020-04-17,1142,0,0,0,0,0,0,0
SOUTHWESTERN UNIVERSITY MEDICAL CENTER,2020-04-17 10:57:42,2020-04-17 10:57:42,DOH000000000005695,0,2020-04-17,1303,1,0,0,0,0,0,0
SOUTHWESTERN UNIVERSITY MEDICAL CENTER,2020-04-18 12:46:51,2020-04-18 12:46:51,DOH000000000005695,0,2020-04-18,2260,1,0,0,0,0,0,0
JAIME B. BERCES MEMORIAL HOSPITAL,2020-04-17 7:18:48,2020-04-17 7:18:48,DOH000000000005708,0,2020-04-17,782,0,0,0,0,0,0,0
JAIME B. BERCES MEMORIAL HOSPITAL,2020-04-16 8:22:11,2020-04-16 8:22:11,DOH000000000005708,0,2020-04-16,169,0,0,0,0,0,0,0
JAIME B. BERCES MEMORIAL HOSPITAL,2020-04-18 7:19:50,2020-04-18 7:19:50,DOH000000000005708,0,2020-04-18,1653,0,0,0,0,0,0,0
KASIBU MUNICIPAL HOSPITAL,2020-04-16 12:35:24,2020-04-16 12:35:24,DOH000000000005735,0,2020-04-16,477,9,0,0,0,1,0,0
KASIBU MUNICIPAL HOSPITAL,2020-04-18 8:27:54,2020-04-18 8:27:54,DOH000000000005735,0,2020-04-18,1917,10,0,0,0,0,0,0
KASIBU MUNICIPAL HOSPITAL,2020-04-17 8:30:33,2020-04-17 8:30:33,DOH000000000005735,0,2020-04-17,1025,10,0,0,0,0,0,0
MCU-FDT MEDICAL FOUNDATION HOSPITAL,2020-04-16 18:11:41,2020-04-16 18:11:41,DOH000000000005738,0,2020-04-16,700,0,0,0,0,5,0,0
LOURDES HOSPITAL,2020-04-18 8:08:18,2020-04-18 8:08:18,DOH000000000005758,0,2020-04-18,1819,0,0,0,0,0,0,0
LOURDES HOSPITAL,2020-04-16 9:12:27,2020-04-16 9:12:27,DOH000000000005758,0,2020-04-16,275,2,0,0,0,0,0,0
LOURDES HOSPITAL,2020-04-17 8:56:26,2020-04-17 8:56:26,DOH000000000005758,0,2020-04-17,1123,0,0,0,0,0,0,0
THE MEDICAL CITY PANGASINAN,2020-04-17 8:36:18,2020-04-17 8:36:18,DOH000000000005789,0,2020-04-17,1052,0,0,0,0,0,0,0
CULASI DISTRICT HOSPITAL,2020-04-17 22:43:04,2020-04-17 22:43:04,DOH000000000005795,6,2020-04-17,1581,2,0,0,8,0,0,0
"RICARDO LIMSO MEDICAL CENTER, INC.",2020-04-17 9:11:34,2020-04-17 9:11:34,DOH000000000005811,0,2020-04-17,1151,0,0,0,0,0,0,0
EASTERN PANGASINAN DISTRICT HOSPITAL,2020-04-18 10:28:54,2020-04-18 10:28:54,DOH000000000005829,7,2020-04-18,2135,7,0,0,7,0,0,0
CATIGBIAN DISTRICT HOSPITAL,2020-04-16 15:11:16,2020-04-16 15:11:16,DOH000000000005925,0,2020-04-16,598,8,0,0,0,0,0,0
CATIGBIAN DISTRICT HOSPITAL,2020-04-17 14:55:41,2020-04-17 14:55:41,DOH000000000005925,0,2020-04-17,1466,8,0,0,0,0,0,0
PROSPERO G. BELLO INTEGRATED COMMUNITY HOSPITAL,2020-04-18 7:21:27,2020-04-18 7:21:27,DOH000000000005928,0,2020-04-18,1656,2,0,0,0,0,0,0
PROSPERO G. BELLO INTEGRATED COMMUNITY HOSPITAL,2020-04-17 18:35:11,2020-04-17 18:35:11,DOH000000000005928,0,2020-04-17,1565,2,0,0,0,0,0,0
PROSPERO G. BELLO INTEGRATED COMMUNITY HOSPITAL,2020-04-16 11:13:44,2020-04-16 11:13:44,DOH000000000005928,0,2020-04-16,401,2,0,0,0,0,0,0
TABLAS ISLAND DISTRICT HOSPITAL,2020-04-16 11:59:52,2020-04-16 11:59:52,DOH000000000005932,2,2020-04-16,447,2,0,0,0,0,0,0
TABLAS ISLAND DISTRICT HOSPITAL,2020-04-17 12:36:08,2020-04-17 12:36:08,DOH000000000005932,2,2020-04-17,1377,2,0,0,0,0,0,0
ROMBLON DISTRICT HOSPITAL,2020-04-16 9:26:17,2020-04-16 9:26:17,DOH000000000005934,0,2020-04-16,293,0,0,0,0,0,0,0
TORRIJOS MUNICIPAL HOSPITAL,2020-04-18 11:44:55,2020-04-18 11:44:55,DOH000000000005938,0,2020-04-18,2217,0,0,0,0,0,0,0
TORRIJOS MUNICIPAL HOSPITAL,2020-04-16 10:45:40,2020-04-16 10:45:40,DOH000000000005938,0,2020-04-16,383,0,0,0,0,0,0,0
TORRIJOS MUNICIPAL HOSPITAL,2020-04-17 10:06:37,2020-04-17 10:06:37,DOH000000000005938,0,2020-04-17,1244,0,0,0,0,0,0,0
ASINGAN COMMUNITY HOSPITAL,2020-04-18 9:24:34,2020-04-18 9:24:34,DOH000000000005939,0,2020-04-18,2058,5,0,0,0,0,0,0
ASINGAN COMMUNITY HOSPITAL,2020-04-16 15:22:02,2020-04-16 15:22:02,DOH000000000005939,0,2020-04-16,607,5,0,0,0,0,0,0
ASINGAN COMMUNITY HOSPITAL,2020-04-17 9:52:56,2020-04-17 9:52:56,DOH000000000005939,0,2020-04-17,1223,5,0,0,0,0,0,0
DIFFUN DISTRICT HOSPITAL,2020-04-18 8:03:29,2020-04-18 8:03:29,DOH000000000005940,0,2020-04-18,1784,0,0,0,0,0,0,0
DIFFUN DISTRICT HOSPITAL,2020-04-16 9:05:13,2020-04-16 9:05:13,DOH000000000005940,0,2020-04-16,260,0,0,0,0,0,0,0
DIFFUN DISTRICT HOSPITAL,2020-04-17 8:17:25,2020-04-17 8:17:25,DOH000000000005940,0,2020-04-17,970,0,0,0,0,0,0,0
TUMAUINI COMMUNITY HOSPITAL,2020-04-17 8:16:48,2020-04-17 8:16:48,DOH000000000005941,0,2020-04-17,964,0,0,0,0,0,0,0
TUMAUINI COMMUNITY HOSPITAL,2020-04-16 14:08:59,2020-04-16 14:08:59,DOH000000000005941,0,2020-04-16,545,0,0,0,0,0,0,0
TUMAUINI COMMUNITY HOSPITAL,2020-04-18 8:12:39,2020-04-18 8:12:39,DOH000000000005941,0,2020-04-18,1844,0,0,0,0,0,0,0
RETUERMA GENERAL HOSPITAL,2020-04-18 7:54:39,2020-04-18 7:54:39,DOH000000000005962,0,2020-04-18,1731,0,0,0,0,0,0,0
RETUERMA GENERAL HOSPITAL,2020-04-17 7:15:01,2020-04-17 7:15:01,DOH000000000005962,0,2020-04-17,777,0,0,0,0,0,0,0
RETUERMA GENERAL HOSPITAL,2020-04-16 7:49:34,2020-04-16 7:49:34,DOH000000000005962,0,2020-04-16,98,0,0,0,0,0,0,0
DIVINE WORD HOSPITAL,2020-04-18 8:37:04,2020-04-18 8:37:04,DOH000000000005964,0,2020-04-18,1940,1,0,0,0,0,0,0
DIVINE WORD HOSPITAL,2020-04-16 8:42:10,2020-04-16 8:42:10,DOH000000000005964,0,2020-04-16,212,1,0,0,0,0,0,0
DIVINE WORD HOSPITAL,2020-04-17 8:48:31,2020-04-17 8:48:31,DOH000000000005964,0,2020-04-17,1095,1,0,0,0,0,0,0
BENDIJO HOSPITAL,2020-04-17 8:49:16,2020-04-17 8:49:16,DOH000000000005969,0,2020-04-17,1099,0,0,0,0,0,0,0
BENDIJO HOSPITAL,2020-04-18 9:15:22,2020-04-18 9:15:22,DOH000000000005969,0,2020-04-18,2039,0,0,0,0,0,0,0
BENDIJO HOSPITAL,2020-04-16 9:05:41,2020-04-16 9:05:41,DOH000000000005969,0,2020-04-16,262,0,0,0,0,0,0,0
GRACE MISSION HOSPITAL,2020-04-16 17:08:08,2020-04-16 17:08:08,DOH000000000005970,0,2020-04-16,675,0,0,0,0,3,0,0
GRACE MISSION HOSPITAL,2020-04-18 11:09:27,2020-04-18 11:09:27,DOH000000000005970,0,2020-04-18,2183,0,0,0,0,3,0,0
GRACE MISSION HOSPITAL,2020-04-17 9:13:25,2020-04-17 9:13:25,DOH000000000005970,0,2020-04-17,1156,0,0,0,0,3,0,0
"ST. PETER AND PAUL HOSPITAL OF SORSOGON, INC.",2020-04-18 11:37:08,2020-04-18 11:37:08,DOH000000000005974,0,2020-04-18,2205,0,0,0,0,0,0,0
"ST. PETER AND PAUL HOSPITAL OF SORSOGON, INC.",2020-04-17 13:20:06,2020-04-17 13:20:06,DOH000000000005974,0,2020-04-17,1407,0,0,0,0,0,0,0
MARY IMMACULATE MATERNITY AND GENERAL HOSPITAL,2020-04-16 10:12:56,2020-04-16 10:12:56,DOH000000000005975,0,2020-04-16,347,1,0,0,0,0,0,0
MARY IMMACULATE MATERNITY AND GENERAL HOSPITAL,2020-04-17 9:35:20,2020-04-17 9:35:20,DOH000000000005975,0,2020-04-17,1189,1,0,0,0,0,0,0
MARY IMMACULATE MATERNITY AND GENERAL HOSPITAL,2020-04-18 11:41:49,2020-04-18 11:41:49,DOH000000000005975,0,2020-04-18,2212,1,0,0,0,0,0,0
CANDON ST. MARTIN DE PORRES HOSPITAL,2020-04-17 8:38:38,2020-04-17 8:38:38,DOH000000000005976,0,2020-04-17,1065,1,0,0,0,0,0,0
CANDON ST. MARTIN DE PORRES HOSPITAL,2020-04-16 11:46:57,2020-04-16 11:46:57,DOH000000000005976,0,2020-04-16,429,1,0,0,0,0,0,0
CANDON ST. MARTIN DE PORRES HOSPITAL,2020-04-18 8:17:07,2020-04-18 8:17:07,DOH000000000005976,0,2020-04-18,1864,1,0,0,0,0,0,0
ALBOR DISTRICT HOSPITAL,2020-04-18 12:46:00,2020-04-18 12:46:00,DOH000000000005988,0,2020-04-18,2259,1,0,0,0,0,0,0
ALBOR DISTRICT HOSPITAL,2020-04-17 8:34:46,2020-04-17 8:34:46,DOH000000000005988,0,2020-04-17,1040,1,0,0,0,0,0,0
ANAHAWAN DISTRICT HOSPITAL,2020-04-17 11:49:56,2020-04-17 11:49:56,DOH000000000005990,0,2020-04-17,1350,2,0,0,0,0,0,0
ANAHAWAN DISTRICT HOSPITAL,2020-04-18 8:35:37,2020-04-18 8:35:37,DOH000000000005990,0,2020-04-18,1937,2,0,0,0,0,0,0
ANDOT MEDICAL CLINIC,2020-04-18 9:15:02,2020-04-18 9:15:02,DOH000000000005991,0,2020-04-18,2037,4,0,0,0,0,0,0
ANDOT MEDICAL CLINIC,2020-04-17 9:12:17,2020-04-17 9:12:17,DOH000000000005991,0,2020-04-17,1153,4,0,0,0,0,0,0
ANDOT MEDICAL CLINIC,2020-04-16 14:51:03,2020-04-16 14:51:03,DOH000000000005991,0,2020-04-16,585,0,0,0,0,0,0,0
CATARMAN DISTRICT HOSPITAL,2020-04-18 10:47:52,2020-04-18 10:47:52,DOH000000000006004,0,2020-04-18,2160,0,0,0,0,0,0,0
CATARMAN DISTRICT HOSPITAL,2020-04-17 12:34:35,2020-04-17 12:34:35,DOH000000000006004,0,2020-04-17,1375,0,0,0,0,0,0,0
